id,path
924,41 43 25 15 16 26 24 24
6067,53 55 23 25 15 25 25 15 16 26
5310,43 23 43 23 23 25 15 16 50 48 68
3257,43 44 24 24 24 24 24
5385,39 39 7 9 10
7119,23 61 23 43 23 7 47 49 50
4297,23 51 25 15 16
6866,25 15 25 15 16 26 24 24 56
2354,5 35 36 34 98
4697,43 44 42 24 24 24 24 24 44
534,19 13 17 18 16
6138,41 43 25 15 16 26 24 44
1566,43 23 23 51 25 26 16 26
4146,43 23 23 23 69 70 24
746,53 55 23 23 25 15 16 26 24 24
7386,53 55 23 23 25 25 25 15 16
1273,43 44 42 24 24 24 24 24 24
2440,7 8 24 68 78
6013,15 11 29 30 12 10
7768,43 23 7 47 49 59 60 26 24 24
6410,51 25 25 15 16
1569,15 73 25 15 16 26 52 24 24
3247,61 111 113 114
5784,29 30 12 28 38 68
3802,23 25 25 15 27 11 29 30 12
1311,29 30 12 10 68 78
5953,47 69 70 24 62 24
796,61 23 7 47 49 15 16 50 48
4402,61 23 41 42 24
3123,39 111 113 114
77,27 11 29 30 12
913,25 15 25 15 16 26 24 24 24
2002,27 11 29 30 10
4141,25 15 25 15 27 29 30
6771,23 25 15 17 125 126 12 46
969,41 69 25 26
3564,41 43 23 51 52
4951,101 33 35 36
7079,15 27 29 31 29 30 12
3735,61 23 24 24 56
5270,15 73 25 15 16 26 44 24
3593,43 23 41 42 24 68
2797,43 23 41 42 24 62
365,43 25 15 17 11 29 30 12 46
2085,13 27 11 29 30 12 28 68
7014,75 76 40 24 24 56
4148,23 69 25 15 16 26
1794,43 23 41 42 24 56
3695,25 25 15 16 50 48 108 8
5773,91 95 97 35 36 32
5763,43 23 23 25 25 26 26
5085,43 23 23 25 25 26 16
6587,77 67 83 31 32 30
6768,53 54 24 24 56 80
1321,89 31 32 30 12 10 68
2398,23 41 43 23 23 24 44
6819,51 25 26 16 50 48 108 8
4647,61 62 24 68 78
4855,29 81 55 23 41 42 24 56 80
694,43 23 23 25 15 25 15 16 26 24
6733,1 91 93 95 97 11 29 30 12
7565,75 76 40 24 24 24
6795,53 55 23 23 25 15 16 26 24 62
340,23 41 43 23 23 25 26
6780,97 98 96 94 92 68
5462,25 25 25 25 15 27 11 29 30 12 28
3446,53 54 24 24 56 54
7938,39 39 40 40 24
965,69 70 42 24
5138,41 43 23 53 54
7363,43 25 15 17 29 30
6815,107 108 8 24 24 24
1887,1 73 74
7821,29 81 55 23 53 81 82 30 12 46
7686,23 23 51 25 15 16
2192,43 23 61 62
3173,97 98 96 94 92 38
448,23 23 23 23 25 26
4231,23 41 43 23 23 24 24
7728,25 25 25 25 15 27 11 29 30 12 46
393,43 23 23 25 15 25 15 16 26 44
3785,23 41 43 23 61 62
3994,23 23 23 25 25 15 16 26 52
559,25 26 70 48 8
1774,77 67 19 21 13 14
5529,43 23 23 69 25 26 16
4401,23 61 23 41 42 24
4498,61 23 7 9 11 29 30 12
4294,15 25 15 25 15 16 50 48 108 8
7523,49 59 60 26 52 24
246,23 23 23 23 24 24
7901,23 41 43 23 23 23 24
3051,77 79 55 23 25 26
361,23 7 9 29 30 10
661,23 7 9 29 30 12
7480,23 41 43 23 7 47 49 15 16 50 48 68
1779,77 79 55 56 54 42
2227,39 75 55 23 41 42
3076,53 54 62 68
6695,67 77 67 47 49 50
3003,77 79 55 56 54 24
2424,43 25 15 73 25 15 16
3884,25 26 70 48 68
1683,39 75 55 23 7 9 11 29 30 12
114,37 19 20
5599,43 23 43 23 25 25 15 16 50 48
6399,75 55 23 43 23 23 25 15 16
5832,11 12 18 14 20 38
2638,23 53 55 23 41 43 23 25 26
6987,13 14 104 38
3956,43 23 23 41 43 25 15 16
6550,13 27 28 86 2
7684,89 31 32 30 12 10 38
3850,15 25 25 15 16 50 48
5162,23 25 15 25 15 16 26 24 24 24 24
7510,15 73 25 15 27 105 11 29 30 12 106 90
1861,25 25 15 16 26 44 42 24
4335,61 23 23 61 62
5575,39 75 55 23 43 44
1881,25 25 15 25 26 74
6451,25 15 25 15 16 50 48 8 64
4045,37 77 67 27 28 14
7230,43 23 23 25 15 25 15 16 50 48 68
6036,25 15 73 25 15 11 29 30 12
2075,29 31 93 95 96
3886,43 23 69 25 26
2258,43 25 59 25 26 60 58
7838,23 61 7 47 49 15 16 26
5036,23 61 23 39 7 9 10
586,25 15 25 59 60 50 48
6524,77 79 55 56 54 62
1902,43 23 41 42 24 24
245,23 23 23 23 24
3821,43 23 23 51 25 26 26 24 24 24
7614,67 83 31 32 30 12 10 68
847,53 54 24
2670,43 23 43 23 23 61 23 61 62
2806,25 25 15 25 26 16
3847,25 25 15 25 26 26
1591,41 43 25 15 16 26 44
351,61 23 7 47 49 15 16 26 52
6235,15 25 15 25 25 15 16 26
4061,23 7 107 47 49 15 16 26 24 24
7515,25 15 25 15 16 26 24 44
491,53 54 42
7860,61 23 7 47 49 15 16 26 44
515,53 54 44
7084,119 117 121 122 118
3403,67 37 47 48 8
3755,23 23 23 23 51 52
7152,43 23 23 43 23 23 23 25 26
4690,25 15 73 25 15 17 11 29 30 12
6372,53 54 62
874,25 15 25 15 16 26 24 62
1082,37 23 24
6371,43 23 23 23 23 25 15 16
6153,67 9 29 30 10
206,15 16 50 48 8
6886,43 23 25 15 27 29 30 12 46
7156,41 43 23 61 62
44,11 12 18 14 22 20
6632,13 17 18 2
6798,43 23 23 23 61 23 24 24
619,15 25 26 72 16
7573,23 61 23 61 23 41 42
4334,23 61 23 23 61 62
3883,43 23 69 70
2430,15 27 11 29 31 35 36 34 32
5384,23 39 39 7 9 10
6841,61 23 25 15 16 16 50 48
3519,11 12 18 14 20 68
7692,43 23 23 23 23 41 43 44
1623,15 16 50 48 38
3520,67 77 67 47 48 8
4725,45 47 48 8
7356,53 55 23 23 25 15 11 29 30
912,43 23 23 25 15 25 15 16 26 24 24 24
3910,23 23 23 25 25 15 25 15 16 26
2939,77 67 31 32 30 10 8
6511,25 15 17 125 126 12
4663,15 16 50 48 46
7516,19 21 13 27 11 29 30 12 46
4102,15 25 26 16 26 24 24 24
4355,53 55 23 23 43 23 25 15 16
7808,27 11 29 31 33 35 36 34 32
5939,15 16 50 48 64
1697,77 67 19 21 22 20
602,25 15 25 15 16 26 24 24
1163,15 16 50 48 68
4380,61 23 41 53 54
7602,61 43 23 23 51 52
17,13 17 18 16
6630,67 19 21 13 17 18
3621,15 71 25 15 25 15 16 26 52
3919,61 23 61 23 51 25 26 16
2229,43 41 42 44
3913,43 23 23 23 24 62 24 24
1424,67 47 48 8
1083,37 23 24 24
7897,15 25 25 25 25 25 15 16 26 52
6328,77 67 31 32 30 12 28
3455,43 23 25 25 15 25 26 74
6929,43 41 42 62
7894,43 23 23 25 59 25 26
712,15 16 26 24 24 56 54
4661,45 47 48 68
4755,77 67 31 32 30 12 18
2790,23 43 23 23 25 25 15 16 26
190,23 41 43 23 43 44
3986,23 23 23 24 24 62
2697,77 67 31 32 30 12 10
1504,15 25 25 25 25 25 15 16 26 24
888,15 71 25 15 27 11 29 30 12 46
3007,53 55 23 7 47 49 15 16 50 48 68 78
6273,53 55 23 111 113 93 95 96
7688,23 23 23 24 24 44
1200,37 27 28
3495,43 23 43 23 25 25 15 16 26 24
592,49 59 60 26
2725,43 41 42 24
5351,23 25 15 73 25 15 16
454,23 23 23 24 24 24
1932,21 22 104 38
5334,37 23 24 44
3987,43 23 23 61 23 25 25 26
4375,61 23 7 47 49 15 16 26 24 24
2991,13 17 18 86
1463,99 101 11 29 30
4007,7 107 47 49 15 16 50 48 8
6548,1 85 86
7044,61 41 53 127 99 100
1230,43 25 15 16 50 48
6555,67 47 49 50
3988,61 23 25 25 26
2847,15 71 25 15 27 11 29 30 12 18
2690,61 23 61 23 25 15 16
6342,15 25 15 17 29 30
2791,77 67 19 21 22 104
2248,15 71 25 15 27 11 29 30 12 28
3359,123 79 55 23 41 43 44
7560,93 94 32 30
1275,23 41 43 23 41 42
2158,23 43 23 23 23 25 15 16 26 24
4066,51 25 15 16 26 24 24 24 24
1513,43 41 43 44
3747,23 23 25 25 25 15 16 26
4009,7 107 47 49 15 16 50 48 38
6280,67 113 114 112
6693,77 67 77 79 55 56 54 24
2472,23 43 23 23 23 25 15 16 26 44
6073,43 23 7 47 49 15 25 26 74
3467,77 67 31 32 30 12 46
152,23 51 25 26 16 26 24
6876,15 16 26 24 24 56 80
861,25 15 73 25 15 16 26
6029,41 43 23 41 42 24 24 62
222,41 43 25 15 16 26 24
5780,49 15 16 26 24 56 80
595,15 25 15 25 59 60 26
1537,23 61 23 23 51 52
5849,15 25 15 25 26 26 24
7513,25 26 52 24 24 24 44
2329,43 25 15 25 15 16 26 24
706,43 23 25 15 25 15 16 26 24
1184,43 23 75 76
1974,25 15 59 25 26 60 58 24
1984,25 25 15 27 11 29 30 12 46
7581,25 25 15 16 26 44 24 24
1819,11 12 28 68 78
129,43 25 15 16
5819,37 27 28 14 22 20
7601,103 21 13 27 28 16 26 24
5375,49 15 16 26 132 130
5817,15 25 26 74 136
3664,25 26 52 24 24 24 62
1475,25 25 15 27 11 29 30 12 28
3398,23 43 23 7 47 49 15 16 50 48 68
3808,61 23 7 47 69 70
7600,23 41 43 23 7 9 10
5143,43 23 75 55 23 23 25 15 16 26 24
7837,23 41 43 51 25 26 16
7377,25 25 15 27 11 29 30 12 18
409,51 52 24 24 24
3898,23 23 51 25 26 16 50 48 68
7506,13 27 11 29 30 12 10 68
178,7 8 24 56 54
277,25 26 52 24 24 24 24
4745,55 56 54 24 56 80
1105,61 23 41 43 44
482,23 65 25 26
7836,23 41 43 51 52
2083,67 19 21 13 27 28
399,43 23 25 59 60 26
5471,43 25 15 25 15 16 26 44
6229,23 43 23 7 47 49 15 16 50 48 38
384,23 23 25 15 16 26 24
734,15 27 11 29 31 29 30 12
2449,51 52 24 24 62
7157,41 43 23 61 7 47 49 50
6604,67 77 67 91 92
146,51 52 24 24 44
895,7 8 24 56 76
5269,43 23 25 15 73 25 15 16 26 44
5360,25 15 11 29 30 16 26 24
7171,69 70 62 24
1011,7 8 24 56 80
4551,15 27 11 29 31 29 30 32
5568,23 23 25 15 16 26 16
4205,25 25 25 15 16 50 48
3353,117 45 33 34 32
676,29 31 29 31 33 35 36
4881,41 43 41 42 24
7871,15 73 25 15 17 11 29 30 12 10 38
4931,23 61 23 24 24 24
2839,23 23 23 7 9 10
2852,15 25 25 15 16 26 24 24 24 24
6498,53 55 23 7 9 11 125 126 12
2759,49 15 16 26 24 62 24
3108,7 9 11 29 30
5549,15 16 26 24 24 62 24
4651,77 79 55 23 41 42
2103,13 27 28 16 26 24 56
3751,25 25 25 15 16 26 24 24
6618,1 91 92
3914,23 61 23 61 23 51 52
430,61 23 25 15 16
7591,31 32 84 68 78
1580,53 55 23 25 25 15 16 26 24
1470,43 23 23 51 25 26 26 24
3731,43 23 23 23 51 25 26 26 24
1866,13 27 28 16 26 24 62
2996,39 75 55 23 25 26
1512,41 43 41 43 44
1889,15 25 26 74 2
4936,55 56 54 42 24 62
3668,57 59 60 16 50 48 8
5329,25 25 25 15 16 26 24 44
3011,23 23 23 25 15 25 15 16 50 48
3473,55 56 54 42 24 56
3401,15 73 25 15 16 26 24 24
5011,23 41 43 23 51 52
169,23 23 51 25 26 16
1535,13 27 28 16 26 24 44
2469,15 16 50 48 108
3204,43 23 23 51 25 26 26 44
2266,23 23 25 15 17 11 29 30 12 46
5843,53 55 23 25 25 15 16 26 16
61,13 27 28 16 26 24 24
792,23 23 25 15 16 26 52
6296,23 61 7 47 49 15 16 26 44
1282,23 23 51 25 26 26
1548,43 23 25 15 73 25 15 16 26 24
3631,75 76 40 24 24 24 24 24
6091,43 23 43 25 25 15 16 26
6977,37 23 51 25 26 16
7135,23 23 25 15 16 26 62
6259,61 23 25 15 16 50 48 8
7063,15 17 137 11 125 126 12 28
5582,43 23 23 25 25 15 16
7369,63 7 47 49 50
4926,55 56 54 42 24 24
1849,53 55 23 25 25 15 16 26 52
219,23 23 25 15 16 26 44
3049,43 23 23 23 51 25 26 16 26 24 24
830,23 24 24 68 78
5217,61 39 75 55 23 41 42
5914,37 27 28 14 20 38
1130,7 8 24 62 24
2337,43 41 43 23 23 25 15 16
4052,23 23 51 25 26 16 50 48 38
7013,43 23 39 40 24 24 56
7873,49 15 27 11 29 30 12
4900,15 71 25 15 25 26 74
7250,15 25 25 15 25 15 25 26 72
1,1 2
431,19 21 13 27 28 16 26
2700,77 67 9 10 8 24 24 24
3768,61 23 7 47 49 15 16 26 24
5522,19 21 13 27 28 16 32
1756,37 27 28 14 20 68
3825,23 75 55 23 7 47 49 15 16 26 24 24 24
1039,15 25 15 16 50 48
1551,15 73 25 15 16 26 24 44
1638,41 43 23 7 47 49 15 16 50 48
7243,15 71 25 15 25 26 16
505,15 25 26 16 50 48
7532,57 59 60 16 50 48 38
1680,43 23 25 15 25 15 16 26 44
6418,15 73 25 15 16 26 24 56
128,41 43 25 15 16
2023,63 19 13 14
2112,73 74 16 26 24 24
469,61 23 61 23 23 25 26
828,23 23 24 24 68
2598,25 15 25 26 26 24 24
4424,23 23 41 43 23 25 15 16 26 24
5002,3 35 36
5651,23 61 23 23 43 44
7002,101 102 100 128 46
4631,77 67 109 77 78
2679,61 23 61 23 23 24 62
3288,25 15 73 25 15 25 26
4993,101 102 100 128 54
3333,53 55 23 25 15 25 15 16 50 48
1491,91 93 95 97 11 29 30 12
5600,23 23 25 15 73 25 15 16 26 24
1626,23 25 15 25 25 25 25 15 16
2867,41 43 23 7 47 49 15 16 26 44
3905,23 23 23 51 25 26 16 26 24 24
2519,25 15 25 26 26 24 44
6698,77 67 47 49 15 16 16
7331,43 23 41 43 23 23 25 25 26
1894,23 41 43 23 23 24
5382,23 39 39 40 40
7056,25 15 17 11 125 126 12 138 90
5421,125 126 12 18
7770,53 55 23 7 47 49 59 60 26 24
740,43 41 53 54
3066,3 4
6594,125 126 12 10
7185,61 41 43 25 15 16 26 24
1029,43 23 7 47 49 15 16 50 48 68 78
1159,43 23 23 25 15 25 15 16 50 48
5068,37 23 24 24 62 24
7906,23 23 43 7 47 49 15 16 26 24 24 24
7203,25 15 29 30 12 28
4958,125 126 12 28
3774,25 25 26 26 24 62
6104,25 25 15 59 60 26
1451,25 25 25 15 16 26 52
1013,77 67 9 10 8
3699,23 23 25 15 16 50 48
2588,43 23 23 23 25 15 25 15 16 26 24
3460,49 15 27 11 29 30 12 46
1135,23 65 25 26 16 26 24
6957,97 98 96 114 112
2945,43 23 23 23 25 15 25 15 16 26 24 24
4543,15 27 11 29 81 55 23 53 54
5484,25 15 17 29 31 35 36 32
2788,15 16 26 16 50 48 68
3259,29 30 18 14 22 20
5365,25 15 29 30 12 18
2632,43 25 25 26
5670,53 55 23 23 25 15 25 26
2715,43 23 23 43 23 41 43 25 26
3738,43 23 7 107 47 49 15 16 26
7874,49 15 27 11 29 30 12 28
4057,25 25 25 15 16 26 24
4073,25 25 26 26 24 24
2322,43 23 23 25 15 17 11 29 30 12 46
7205,61 41 43 25 15 16 26 44
7479,41 42 24 24 56 80 78
104,5 6
2770,77 67 47 49 15 16 26
7116,43 23 43 41 43 23 25 26
2719,9 29 30 18 14 22 20
4550,25 15 27 11 29 31 29 30 32
5140,23 25 25 25 15 16 26 24
3095,15 16 26 16 50 48 38
7094,23 41 43 23 23 51 25 26 16
3690,29 30 12 28 68 78
4196,23 25 25 25 15 16 26 52
6042,61 23 61 23 23 23 25 26
5790,23 41 43 23 23 51 25 26 26
2414,25 15 27 11 29 31 29 30 12
1317,87 89 31 32 30
7746,23 23 23 25 25 15 16 50 48
1154,65 25 26 16
5178,123 79 55 23 23 25 26
1804,25 25 15 16 50 48 68 78
5706,51 25 26 26 16 50 48
4207,43 23 41 43 7 47 49 50
6961,43 23 41 43 23 23 41 53 54
5260,23 25 25 25 25 25 25 15 16
1075,25 15 27 11 29 30 12 46
4123,43 23 43 23 51 25 26 26 24
4932,43 23 23 41 42 24 62
3061,67 97 98 96
5059,65 25 26 26
674,67 31 32 30
6343,43 23 25 15 17 29 30
332,61 23 7 47 49 50
6,7 8
82,25 15 27 11 29 30 12 28
2099,53 55 23 7 9 11 29 30 10 8
5630,43 23 7 47 49 15 16 26 24 24 56 80
2502,53 55 23 43 23 7 47 49 50
2323,25 15 27 11 29 30 12 32
3293,15 25 25 15 16 26 52
3306,61 43 23 7 9 10
4390,117 118 24 24
6172,43 23 23 41 42 24 24
7895,43 23 23 25 59 25 15 16 26
4495,15 25 25 15 16 26 44
6814,53 55 23 43 23 43 23 23 24
4474,23 61 23 7 9 10
434,23 23 23 61 62
1108,25 15 27 11 29 30 12 18
5479,25 15 27 11 29 30 12 16
3590,61 43 23 7 47 49 15 16 26 24
2179,25 15 27 11 29 30 12 10
2658,43 23 39 75 55 23 41 42
3744,13 27 28 16 50 48 108 8
2787,15 25 25 15 16 26 24
974,23 61 23 23 41 42
6336,61 23 23 25 15 16 50 48 8
6664,15 25 25 15 16 26 16
6694,67 77 67 47 48
1319,89 31 32 30
27,21 13 14
1244,23 41 43 23 25 26
3125,43 23 111 113 93 95 96 94
7886,15 27 11 29 31 11 29 30 12 28 38
4575,53 55 23 7 47 49 59 60 26 44
4643,89 97 98 96
282,25 59 25 15 25 26
12,9 10
6661,67 23 51 25 26 16 26 24 24
2963,43 23 43 23 7 47 49 15 16 50 48
3783,23 41 43 23 24 44
5580,37 23 43 44
7577,23 61 23 7 9 11 29 30 12 46
2199,41 43 23 7 47 49 15 16 26 24
5826,23 25 25 15 27 11 29 30
6002,53 55 23 43 23 43 23 25 26
4867,89 97 98 68
3752,63 19 21 22
608,23 51 25 26 16 26 44
5559,75 55 23 23 41 43 44
3167,29 31 29 30 12 10 8
1131,61 23 23 23 24
1686,13 27 11 29 31 33 35 36
3019,15 73 25 15 71 25 15 16 50 48 8
3456,41 43 23 7 47 49 15 16
2445,53 55 23 7 9 11 29 30 12 46
7880,25 15 25 15 25 25 15 16 50 48 38
2361,53 55 23 7 9 11 29 30 12 28
5657,53 55 23 129 133 134 130
1221,23 7 47 49 15 16 26 52
3030,61 23 23 51 25 26 26
3481,53 55 23 7 9 11 29 30 12 32
2335,23 7 47 49 15 16 26 44
9,11 12
3000,37 47 48
2492,43 25 15 16 26 52
5695,61 23 23 24 24
4109,25 25 15 25 15 27 11 29 30
426,23 7 47 49 15 16 26 24
1907,53 55 23 41 43 25 15 16
1592,43 25 15 16 26 44
404,23 7 9 11 29 30 10
4305,23 7 47 49 15 16 26 16
4768,47 49 15 16 50 48 68 78
4144,15 25 15 25 15 27 29 30 12
956,43 23 23 69 70 24
1836,89 31 32 68
5539,41 43 23 43 25 26
649,23 7 9 11 29 30 12
7015,43 23 39 75 55 23 53 54
6456,55 23 7 107 108
6444,53 55 23 39 7 9 11 29 30 12
470,61 23 23 25 26
5874,23 7 47 49 15 16 26 132
7788,15 25 25 15 25 15 25 15 16
4875,15 27 11 29 81 55 23 61 62
5129,23 61 23 25 15 16 26 24
3570,53 55 23 23 25 15 16 26
5103,61 23 23 24 44
4620,23 23 24 24 56 80
257,23 24 44 24 24
7570,61 23 23 25 15 25 25 15 16 50 48 68
5962,57 59 60 16 16 26 24
7915,43 23 25 15 25 25 15 16 50 48 38
638,15 73 25 15 16
1610,23 24 44 24 44
4167,43 23 43 23 23 23 25 15 16
1763,77 78 68 78
6262,23 61 23 25 15 16 26 44
7375,43 23 53 55 23 25 25 15 16
1540,61 23 23 51 25 26 16
2496,31 32 68 78 68
2942,91 93 95 97 11 29 30 12 46
13,13 14
1409,53 55 23 7 9 11 29 30 12 10
5205,131 25 26 16
3529,23 24 24 24 62 24 68
2093,53 55 23 7 9 11 29 30 12 18
4820,53 55 23 7 9 11 29 30 12 16
2505,23 53 55 23 7 47 49 15 16 26 24
6475,29 30 12 10 108 8
250,23 23 23 51 52
1369,23 24 44 24 62
875,25 15 25 15 16 26 24 62 24
4125,25 25 25 25 25 15 25 15 16 26
5860,43 23 43 23 23 61 23 25 26
4672,25 15 27 105 11 29 30 12 106 90
2680,61 23 23 24 62
6881,43 23 7 47 49 15 25 15 16
6001,53 55 23 43 23 43 44
1144,61 23 43 23 25 26
1284,41 43 23 23 24
5663,53 55 23 129 133 131 132
2413,25 15 25 15 27 11 29 30 32
7100,43 41 43 23 25 15 16 50 48
6085,43 23 7 47 49 15 16 26 24 24 24 24 24 24
5244,75 76 40 24 62 24
5261,25 25 25 25 25 25 15 16
5104,23 24 24 24 62 24 44
5084,53 55 23 61 23 25 15 16
7164,75 55 23 23 25 15 16
1492,91 93 95 97 11 29 30 12 98
6825,43 23 43 23 7 107 108 8
7640,153 154 54
2549,43 23 23 23 25 15 16 26
6154,61 23 25 15 17 11 29 30 12
14,15 16
3804,41 43 23 24 44
2522,51 25 26 60 58 24 24 24
7667,53 55 23 7 9 11 29 30 18 14
5061,41 43 23 23 25 25 25 15 16 26
6656,87 89 31 32 68
978,15 25 15 16 26 52 24 24 24
7668,19 21 13 27 11 29 30
2053,63 19 13 91 92
5603,25 15 73 25 15 27 29 30
3703,23 23 23 53 54
1168,51 25 26 16 50 48 68 78
2310,13 27 28 16 26 24 24 24 24 24
4806,23 41 43 23 23 53 54
7943,23 23 61 23 23 24 24 62
225,43 23 25 15 16 50 48
1758,77 67 19 13 27 28 16
4784,17 18 14 20 38 68 78
138,41 43 23 25 26
770,15 25 25 25 25 15 16 26 24 24 62
223,43 25 15 16 26 24
2552,15 25 15 25 15 16 50 48
2119,43 25 15 16 26 16
7283,25 15 17 11 29 31 29 30 32
835,23 23 24 24 62 24
5099,61 62 24 44 24
6037,15 73 25 15 11 29 30 12
335,23 23 24 24 24
2675,43 23 23 61 23 61 23 24
3784,61 62 24 44 42
7148,61 41 43 23 23 25 15 16 50 48
5180,17 18
7004,87 88 68
993,37 9 29 30 12
5830,23 23 24 24 38
7154,37 9 29 30 10
1509,23 23 24 24 44
6976,37 23 51 52
678,11 12 10 38
3765,43 23 23 23 61 23 51 52
665,25 15 25 15 27 11 29 30 12
23,21 22 20
2326,29 31 11 29 30
11,11 12 10 8
743,23 23 24 24 56
3064,13 91 93 95 97 33 35 36
5789,23 41 43 23 23 51 52
4105,25 15 17 11 29 31 29 30 12
6421,15 25 15 27 11 29 30 10
3012,49 15 16 26 44 24 24
666,15 25 15 27 11 29 30 12
834,23 23 24 24 62
6911,25 15 25 15 27 11 29 30 28
415,23 23 7 47 49 15 16 26 52
2764,43 51 25 26 16 26 24
5591,29 31 29 30 12 18 14
788,15 25 15 27 11 29 30 32
2342,77 67 91 92 14
2020,11 12 10 64
6912,15 25 15 27 11 29 30 28
3169,9 11 29 31 35 36
6325,23 23 7 47 49 15 16 26 62
1257,11 12 10 68
6691,67 77 67 65 66
6991,103 13 17 18 16 26 44
7632,75 55 23 25 15 27 11 29 30 12
1293,87 89 90
2476,43 51 25 26 16 26 44
2643,67 23 7 47 49 50
1662,77 79 55 23 7 47 49 50
20,19 20
151,23 51 25 26 16
6905,23 25 15 25 25 25 25 15 16 26
940,15 25 15 25 25 15 16
512,23 23 7 9 10
1196,23 23 7 47 49 15 16 26 24
6274,97 98 96 94 114
1301,23 51 25 26 26
757,23 23 23 41 42
1330,23 23 7 47 49 15 16 26 44
1578,43 23 41 43 23 25 15 16 26
6071,53 55 23 23 25 25 26 26 24
7531,23 57 59 60 16 50 48 38
2076,97 98 96 94 98
7061,25 15 17 137 11 125 126 12 28
901,61 62 24 62 24
7811,25 15 11 29 31 35 36 32
4873,15 73 25 15 16 26 70 48
1909,21 22 104
6257,23 61 23 25 15 16 50 48
1231,43 25 15 16 50 48 8
1771,77 67 77 79 55 56 54
3515,43 7 9 11 29 30 12
2811,43 41 43 23 23 24
6879,23 23 25 59 60 26 24 24 56 80
2147,11 12 10 108
1835,89 31 32
7026,37 77 67 91 92
7552,23 23 7 47 49 15 16 26 16
959,23 23 24 24 24 24 24 24
24,21 22
6668,77 67 77 79 55 56 82 54
3544,43 25 15 16 50 48 38
2395,43 41 43 23 25 15 16 26
2597,43 23 51 25 26 16 26 24 24
552,23 23 23 43 44
2628,77 67 77 67 19 21 22
2299,43 23 51 25 26
1031,49 15 16 50 48 68 78
